id,"overall score( very bad, bad, ok, good, very good)",identified category,followed subcategories,violated subcategories
pe27jeJ,good,5,5.2,
0CeBwDN,ok,5,,
GSC090N,good,10,10.13,
x7BZWKA,good,7,,
UdZco6H,very good,12,"12.2, 12.4",
thXjtpv,good,7,,
PIoukbk,good,3,,
ZftWuNK,good,3,,
ohvWdO2,good,3,,
kLMCnRx,very good,3,3.5.b,
DkR7vhW,good,6,,
hWp1t1K,ok,1,,
xBpjWHz,good,5,,
RA4TuAU,good,6,,
6G0GyQC,bad,1,1.1,
Fa4nAAQ,ok,"1,4",,4.6.a
D2ZY9ON,good,"2,3","3.5.b, 3.12",
fBqsEuT,very good,"3,4,11","3.3, 3.10, 4.3, 4.3.a, 11.11, 11.8.a.i",
iSLCIgn,good,3,3.12,
yhvUPmo,bad,7,,
1aiwVCg,good,"3,4",4.3,
LsvANtR,bad,"3,6",3.3b,3.5
s9uGVUC,bad,"4,5,10","4.6,10.3",5.1
j0xyD9c,good,4,4.6,
oLsJoKi,good,3,,
0RDEfFm,bad,"2,4,10","2.1,4.6","4.3,10.1.c,10.4.a"
qQuIfXq,bad,7,,1.1
59D737L,bad,3,,3.6.a
9ikNrRR,good,6,6.2,
oyoGSVm,good,3,,
w4IC7jE,very bad,8,,8.1.a
erZdaLj,very bad,1,,1.1
Vxpz0en,good,2,2.1,
dA5cCCs,good,10,10.1.c,
KnAehHV,bad,3,,
vuEKjsN,good,2,2.1,
zxDuwfa,bad,3,,3.5
rqB3zKp,good,"5,10","5.1,10.1.c,10.1.d",
eNl5SXp,good,10,,
gvqS4zh,good,8,8.1.b,
JMA6NXd,good,4,4.6,
ljveOSB,very good,"3,10",3.15,"10.1,10.1.a"
TNVhAcg,good,3,,
oJG6e3h,ok,8,8.1,
q5K4ZlI,good,8,8.1,
g28jNXO,bad,1,,
R9ZGr10,very good,"2,10","2.1,10.1.a,10.3.b",
kUYMK0d,good,10,,
VjzpVaI,good,3,,
4vL4Luw,bad,1,1.1,
ToZVxjz,bad,1,,1.1
zIBeuIK,good,5,,
uD9tCRO,ok,1,"1.1,1.3",
wHbrqY0,good,3,,
Yy4c3wL,ok,10,"10.1.c,10.2,10.4",
5i9SUrt,good,"2,3",2.1,
8146mQO,ok,1,1.1,
tB4dsBI,good,10,10.8,
xU9aXcv,ok,10,,
28Mwwk9,ok,3,,
zmoIFGN,good,3,3.7,
OsjDw6F,ok,10,10.1.a,
iPtGMPH,ok,3,,
mIIlRVo,ok,3,,
GEZP3nA,ok,8,,
VEwOZAK,very bad,1,,
bHPvihr,ok,7,,
ocOiY0c,good,10,10.2,
BjaXxo3,very good,"10,12","10.4.a,10.3.a,10.10,12.5",
wJQP3WT,bad,3,,
QcCVugx,good,"10,6",10.2,
5c2cnne,good,2,,
JHGwlee,good,"3,10","3.3,10.2",
VxIPnSa,good,10,,
3sbRtMX,good,11,"11.2, 11.2.a,11.2.c",
GNGwkBO,ok,7,,
FM8PsZl,ok,1,1.1,
CAoIZFP,good,8,8.1,
N3jaPtL,good,2,2.1.d,
fw6jkGL,good,"7,3","3.3,3.10",
M6wWC58,good,"3,4","4.3,3.6.a",
l2H7WkG,good,3,,
lhGLk28,good,8,,
AyzaZwN,good,"2,10","10.1.a,10.4",
rUU3d4C,bad,2,,
ENxhIZX,good,"3,9","3.1,9.1",
VM9LMNs,good,"4,12",4.3,
VXmLZLH,good,3,3.15,
od0Rk49,good,"3,4","3.3,3.10,3.15,4.4,4.4.a",3.5.b
fdPEhVM,good,3,,
u82La7j,good,"7,4",4.6,
D5nqGKz,good,3,3.3,
UKkV86J,very good,4,"4.2,4.3,4.4",
QeBRG14,very bad,1,,"1.1,1.4"
o7RdZBG,ok,"1,6","1.1,6.2",
LXu1hD3,ok,3,,
jOkTM1X,good,11,11.2,11.8
cdmSMhh,very good,10,"10.5,10.4",10.6
Vuk7m6q,good,3,3.2,"3.1,3.4"
